sourceId,title,version,creator,url,license,licenseUrl,citation,changes
cshapes-2-1,CShapes,2.1 (local source label),Guy Schvitz; Seraina Rüegger; Luc Girardin; Lars-Erik Cederman; Nils Weidmann; Kristian Skrede Gleditsch,https://icr.ethz.ch/data/cshapes/,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Schvitz, Guy, Seraina Rüegger, Luc Girardin, Lars-Erik Cederman, Nils Weidmann, and Kristian Skrede Gleditsch. 2022. Mapping the International System, 1886-2017: The CShapes 2.0 Dataset. Journal of Conflict Resolution 66(1): 144-161.",Converted to row-per-vertex CSV; selected intervals combined; display colors reassigned; final files split without dividing features.
cshapes-europe,CShapes-Europe,,Lars-Erik Cederman; Luc Girardin; Carl Müller-Crepon; Yannick Pengl,https://icr.ethz.ch/data/cshapes/,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,"Cederman, Lars-Erik, Luc Girardin, Carl Müller-Crepon, and Yannick Pengl. 2025. Nationalism and the Transformation of the State: Border Change and Political Violence in the Modern World. Cambridge University Press.",Converted to row-per-vertex CSV; selected intervals combined; display colors reassigned; final files split without dividing features.
