featureId,name,dateFrom,dateTo,sourceId
ottoman-empire-1821-1821,Ottoman Empire,1821,1821,cshapes-europe
ottoman-empire-1822-1822,Ottoman Empire,1822,1822,cshapes-europe
ottoman-empire-1823-1823,Ottoman Empire,1823,1823,cshapes-europe
ottoman-empire-1824-1824,Ottoman Empire,1824,1824,cshapes-europe
ottoman-empire-1825-1825,Ottoman Empire,1825,1825,cshapes-europe
ottoman-empire-1826-1826,Ottoman Empire,1826,1826,cshapes-europe
ottoman-empire-1827-1827,Ottoman Empire,1827,1827,cshapes-europe
ottoman-empire-1828-1828,Ottoman Empire,1828,1828,cshapes-europe
ottoman-empire-1829-1829,Ottoman Empire,1829,1829,cshapes-europe
ottoman-empire-1830-1830,Ottoman Empire,1830,1830,cshapes-europe
ottoman-empire-1831-1831,Ottoman Empire,1831,1831,cshapes-europe
ottoman-empire-1832-1832,Ottoman Empire,1832,1832,cshapes-europe
ottoman-empire-1833-1833,Ottoman Empire,1833,1833,cshapes-europe
ottoman-empire-1834-1834,Ottoman Empire,1834,1834,cshapes-europe
ottoman-empire-1835-1835,Ottoman Empire,1835,1835,cshapes-europe
ottoman-empire-1836-1836,Ottoman Empire,1836,1836,cshapes-europe
ottoman-empire-1837-1837,Ottoman Empire,1837,1837,cshapes-europe
ottoman-empire-1838-1838,Ottoman Empire,1838,1838,cshapes-europe
ottoman-empire-1839-1839,Ottoman Empire,1839,1839,cshapes-europe
ottoman-empire-1840-1840,Ottoman Empire,1840,1840,cshapes-europe
ottoman-empire-1841-1841,Ottoman Empire,1841,1841,cshapes-europe
ottoman-empire-1842-1842,Ottoman Empire,1842,1842,cshapes-europe
ottoman-empire-1843-1848,Ottoman Empire,1843,1848,cshapes-europe
ottoman-empire-1849-1849,Ottoman Empire,1849,1849,cshapes-europe
ottoman-empire-1850-1851,Ottoman Empire,1850,1851,cshapes-europe
ottoman-empire-1852-1859,Ottoman Empire,1852,1859,cshapes-europe
ottoman-empire-1860-1860,Ottoman Empire,1860,1860,cshapes-europe
ottoman-empire-1861-1871,Ottoman Empire,1861,1871,cshapes-europe
ottoman-empire-1872-1872,Ottoman Empire,1872,1872,cshapes-europe
ottoman-empire-1873-1874,Ottoman Empire,1873,1874,cshapes-europe
ottoman-empire-1875-1878,Ottoman Empire,1875,1878,cshapes-europe
ottoman-empire-1879-1880,Ottoman Empire,1879,1880,cshapes-europe
ottoman-empire-1881-1881,Ottoman Empire,1881,1881,cshapes-europe
ottoman-empire-1882-1885,Ottoman Empire,1882,1885,cshapes-europe
cshape-8203-1888-01-01-1896-06-30-709,Pahang,1888-01-01,1896-06-30,cshapes-2-1
cshape-770-1947-08-15-1949-01-04-576,Pakistan,1947-08-15,1949-01-04,cshapes-2-1
cshape-770-1949-01-05-1959-09-30-577,Pakistan,1949-01-05,1959-09-30,cshapes-2-1
cshape-770-1959-10-01-1967-08-13-578,Pakistan,1959-10-01,1967-08-13,cshapes-2-1
cshape-770-1967-08-14-1971-12-15-579,Pakistan,1967-08-14,1971-12-15,cshapes-2-1
cshape-770-1971-12-16-2023-12-31-580,Pakistan,1971-12-16,2023-12-31,cshapes-2-1
cshape-665-1920-04-26-1920-12-23-509,Palestine,1920-04-26,1920-12-23,cshapes-2-1
cshape-665-1920-12-24-1923-09-28-510,Palestine,1920-12-24,1923-09-28,cshapes-2-1
cshape-665-1923-09-29-1948-05-13-511,Palestine,1923-09-29,1948-05-13,cshapes-2-1
cshape-8201-1886-01-01-1896-06-30-707,Perak,1886-01-01,1896-06-30,cshapes-2-1
cshape-840-1886-01-01-1898-12-10-629,Philippines,1886-01-01,1898-12-10,cshapes-2-1
