featureId,name,dateFrom,dateTo,sourceId
cshape-460-1888-12-01-1896-12-31-285,German Togoland,1888-12-01,1896-12-31,cshapes-2-1
cshape-460-1897-01-01-1897-07-08-286,German Togoland,1897-01-01,1897-07-08,cshapes-2-1
cshape-460-1897-07-09-1897-07-22-287,German Togoland,1897-07-09,1897-07-22,cshapes-2-1
cshape-460-1897-07-23-1914-08-30-288,German Togoland,1897-07-23,1914-08-30,cshapes-2-1
cshape-460-1914-08-31-1919-06-27-289,German Togoland,1914-08-31,1919-06-27,cshapes-2-1
cshape-460-1919-06-28-1922-07-19-290,German Togoland,1919-06-28,1922-07-19,cshapes-2-1
cshape-452-1886-01-01-1888-11-30-278,Ghana,1886-01-01,1888-11-30,cshapes-2-1
cshape-452-1888-12-01-1898-06-13-279,Ghana,1888-12-01,1898-06-13,cshapes-2-1
cshape-452-1898-06-14-1956-03-05-280,Ghana,1898-06-14,1956-03-05,cshapes-2-1
cshape-452-1956-03-06-1957-03-05-281,Ghana,1956-03-06,1957-03-05,cshapes-2-1
cshape-452-1957-03-06-2023-12-31-282,Ghana,1957-03-06,2023-12-31,cshapes-2-1
cshape-438-1894-01-01-1958-10-01-267,Guinea,1894-01-01,1958-10-01,cshapes-2-1
cshape-438-1958-10-02-2023-12-31-268,Guinea,1958-10-02,2023-12-31,cshapes-2-1
cshape-404-1886-01-01-1886-05-11-217,Guinea-Bissau,1886-01-01,1886-05-11,cshapes-2-1
cshape-404-1886-05-12-1942-06-30-218,Guinea-Bissau,1886-05-12,1942-06-30,cshapes-2-1
cshape-404-1942-07-01-1974-09-09-219,Guinea-Bissau,1942-07-01,1974-09-09,cshapes-2-1
cshape-404-1974-09-10-2023-12-31-220,Guinea-Bissau,1974-09-10,2023-12-31,cshapes-2-1
cshape-5200-1889-11-19-1897-03-19-686,Italian Somaliland,1889-11-19,1897-03-19,cshapes-2-1
cshape-5200-1897-03-20-1908-04-29-687,Italian Somaliland,1897-03-20,1908-04-29,cshapes-2-1
cshape-5200-1908-04-30-1924-06-30-688,Italian Somaliland,1908-04-30,1924-06-30,cshapes-2-1
cshape-5200-1924-07-01-1941-03-19-689,Italian Somaliland,1924-07-01,1941-03-19,cshapes-2-1
cshape-5200-1941-03-20-1950-03-31-690,Italian Somaliland,1941-03-20,1950-03-31,cshapes-2-1
cshape-5200-1950-04-01-1960-06-30-691,Italian Somaliland,1950-04-01,1960-06-30,cshapes-2-1
cshape-470-1886-01-01-1894-03-14-294,Kamerun,1886-01-01,1894-03-14,cshapes-2-1
cshape-470-1894-03-15-1900-12-31-295,Kamerun,1894-03-15,1900-12-31,cshapes-2-1
cshape-470-1901-01-01-1912-03-29-296,Kamerun,1901-01-01,1912-03-29,cshapes-2-1
cshape-470-1912-03-30-1916-03-03-297,Kamerun,1912-03-30,1916-03-03,cshapes-2-1
cshape-470-1916-03-04-1919-06-27-298,Kamerun,1916-03-04,1919-06-27,cshapes-2-1
cshape-501-1888-10-15-1891-03-23-343,Kenya,1888-10-15,1891-03-23,cshapes-2-1
cshape-501-1891-03-24-1894-06-07-344,Kenya,1891-03-24,1894-06-07,cshapes-2-1
cshape-501-1894-06-08-1902-05-14-345,Kenya,1894-06-08,1902-05-14,cshapes-2-1
