featureId,name,dateFrom,dateTo,sourceId
cshape-840-1898-12-11-1946-07-03-630,Philippines,1898-12-11,1946-07-03,cshapes-2-1
cshape-840-1946-07-04-1948-07-16-631,Philippines,1946-07-04,1948-07-16,cshapes-2-1
cshape-840-1948-07-17-1976-05-28-632,Philippines,1948-07-17,1976-05-28,cshapes-2-1
cshape-840-1976-05-29-2023-12-31-633,Philippines,1976-05-29,2023-12-31,cshapes-2-1
cshape-694-1916-11-03-1971-09-02-526,Qatar,1916-11-03,1971-09-02,cshapes-2-1
cshape-694-1971-09-03-2023-12-31-527,Qatar,1971-09-03,2023-12-31,cshapes-2-1
cshape-823-1888-05-12-1889-06-19-618,Sabah (North Borneo),1888-05-12,1889-06-19,cshapes-2-1
cshape-823-1889-06-20-1946-07-14-619,Sabah (North Borneo),1889-06-20,1946-07-14,cshapes-2-1
cshape-823-1946-07-15-1963-09-15-620,Sabah (North Borneo),1946-07-15,1963-09-15,cshapes-2-1
cshape-824-1888-06-14-1889-06-19-621,Sarawak,1888-06-14,1889-06-19,cshapes-2-1
cshape-824-1889-06-20-1946-06-30-622,Sarawak,1889-06-20,1946-06-30,cshapes-2-1
cshape-824-1946-07-01-1963-09-15-623,Sarawak,1946-07-01,1963-09-15,cshapes-2-1
cshape-670-1932-09-23-1934-12-31-515,Saudi Arabia,1932-09-23,1934-12-31,cshapes-2-1
cshape-670-1935-01-01-2000-06-11-516,Saudi Arabia,1935-01-01,2000-06-11,cshapes-2-1
cshape-670-2000-06-12-2023-12-31-517,Saudi Arabia,2000-06-12,2023-12-31,cshapes-2-1
cshape-8202-1886-01-01-1896-06-30-708,Selangore,1886-01-01,1896-06-30,cshapes-2-1
cshape-830-1946-04-01-1962-12-31-625,Singapore,1946-04-01,1962-12-31,cshapes-2-1
cshape-830-1965-08-09-2023-12-31-626,Singapore,1965-08-09,2023-12-31,cshapes-2-1
cshape-7351-1905-09-05-1945-08-14-704,Southern Sakhalin Island,1905-09-05,1945-08-14,cshapes-2-1
cshape-780-1886-01-01-1948-02-03-585,Sri Lanka (Ceylon),1886-01-01,1948-02-03,cshapes-2-1
cshape-780-1948-02-04-2023-12-31-586,Sri Lanka (Ceylon),1948-02-04,2023-12-31,cshapes-2-1
cshape-827-1886-01-01-1946-03-31-624,Straits Settlements,1886-01-01,1946-03-31,cshapes-2-1
cshape-652-1920-04-26-1920-12-23-496,Syria,1920-04-26,1920-12-23,cshapes-2-1
cshape-652-1920-12-24-1922-12-01-497,Syria,1920-12-24,1922-12-01,cshapes-2-1
cshape-652-1922-12-02-1945-12-31-498,Syria,1922-12-02,1945-12-31,cshapes-2-1
cshape-652-1946-01-01-1967-06-09-499,Syria,1946-01-01,1967-06-09,cshapes-2-1
cshape-652-1967-06-10-2023-12-31-500,Syria,1967-06-10,2023-12-31,cshapes-2-1
cshape-713-1895-04-17-1945-08-14-556,Taiwan,1895-04-17,1945-08-14,cshapes-2-1
cshape-713-1949-12-08-2023-12-31-557,Taiwan,1949-12-08,2023-12-31,cshapes-2-1
cshape-702-1991-09-06-2023-12-31-538,Tajikistan,1991-09-06,2023-12-31,cshapes-2-1
cshape-800-1886-01-01-1893-10-02-590,Thailand,1886-01-01,1893-10-02,cshapes-2-1
cshape-800-1893-10-03-1904-02-17-591,Thailand,1893-10-03,1904-02-17,cshapes-2-1
cshape-800-1904-02-18-1907-03-22-592,Thailand,1904-02-18,1907-03-22,cshapes-2-1
cshape-800-1907-03-23-1909-03-09-593,Thailand,1907-03-23,1909-03-09,cshapes-2-1
cshape-800-1909-03-10-2023-12-31-594,Thailand,1909-03-10,2023-12-31,cshapes-2-1
cshape-711-1913-01-01-1914-07-02-553,Tibet,1913-01-01,1914-07-02,cshapes-2-1
cshape-711-1914-07-03-1950-10-01-554,Tibet,1914-07-03,1950-10-01,cshapes-2-1
turkey-ottoman-empire-1886-1911,Turkey (Ottoman Empire),1886,1911,cshapes-europe
turkey-ottoman-empire-1912-1912,Turkey (Ottoman Empire),1912,1912,cshapes-europe
turkey-ottoman-empire-1913-1913,Turkey (Ottoman Empire),1913,1913,cshapes-europe
turkey-ottoman-empire-1914-1917,Turkey (Ottoman Empire),1914,1917,cshapes-europe
turkey-ottoman-empire-1918-1919,Turkey (Ottoman Empire),1918,1919,cshapes-europe
turkey-ottoman-empire-1920-1922,Turkey (Ottoman Empire),1920,1922,cshapes-europe
turkey-ottoman-empire-1923-2023,Turkey (Ottoman Empire),1923,2023,cshapes-europe
cshape-701-1991-10-27-2023-12-31-537,Turkmenistan,1991-10-27,2023-12-31,cshapes-2-1
cshape-822-1886-01-01-1909-03-09-616,Unfederated Malay States,1886-01-01,1909-03-09,cshapes-2-1
cshape-822-1909-03-10-1946-03-31-617,Unfederated Malay States,1909-03-10,1946-03-31,cshapes-2-1
cshape-696-1892-03-08-1913-07-28-528,United Arab Emirates,1892-03-08,1913-07-28,cshapes-2-1
cshape-696-1913-07-29-1971-12-01-529,United Arab Emirates,1913-07-29,1971-12-01,cshapes-2-1
cshape-696-1971-12-02-2023-12-31-530,United Arab Emirates,1971-12-02,2023-12-31,cshapes-2-1
cshape-704-1991-09-01-2023-12-31-540,Uzbekistan,1991-09-01,2023-12-31,cshapes-2-1
cshape-815-1886-01-01-1887-05-31-603,Vietnam (Annam/Cochin China/Tonkin),1886-01-01,1887-05-31,cshapes-2-1
cshape-815-1887-06-01-1893-01-01-604,Vietnam (Annam/Cochin China/Tonkin),1887-06-01,1893-01-01,cshapes-2-1
cshape-815-1893-01-02-1893-10-02-605,Vietnam (Annam/Cochin China/Tonkin),1893-01-02,1893-10-02,cshapes-2-1
cshape-815-1893-10-03-1954-04-30-606,Vietnam (Annam/Cochin China/Tonkin),1893-10-03,1954-04-30,cshapes-2-1
cshape-816-1954-05-01-1975-04-30-607,"Vietnam, Democratic Republic of",1954-05-01,1975-04-30,cshapes-2-1
cshape-816-1975-05-01-2023-12-31-608,"Vietnam, Democratic Republic of",1975-05-01,2023-12-31,cshapes-2-1
cshape-817-1954-05-01-1975-04-30-609,"Vietnam, Republic of",1954-05-01,1975-04-30,cshapes-2-1
cshape-6631-1948-05-14-1967-06-09-699,West Bank,1948-05-14,1967-06-09,cshapes-2-1
cshape-851-1949-12-29-1962-08-14-641,West Irian (Dutch New Guinea),1949-12-29,1962-08-14,cshapes-2-1
cshape-851-1962-08-15-1963-04-30-642,West Irian (Dutch New Guinea),1962-08-15,1963-04-30,cshapes-2-1
cshape-851-1963-05-01-1969-09-16-643,West Irian (Dutch New Guinea),1963-05-01,1969-09-16,cshapes-2-1
cshape-678-1918-10-30-1934-06-13-518,Yemen (Arab Republic of Yemen),1918-10-30,1934-06-13,cshapes-2-1
cshape-678-1934-06-14-1990-05-21-519,Yemen (Arab Republic of Yemen),1934-06-14,1990-05-21,cshapes-2-1
cshape-678-1990-05-22-2000-06-11-520,Yemen (Arab Republic of Yemen),1990-05-22,2000-06-11,cshapes-2-1
cshape-678-2000-06-12-2023-12-31-521,Yemen (Arab Republic of Yemen),2000-06-12,2023-12-31,cshapes-2-1
cshape-680-1967-11-30-1990-05-21-522,"Yemen, People's Republic of",1967-11-30,1990-05-21,cshapes-2-1
