Stad,Landskap,Län 1970,Landsdel,"Stadsprivilegier/stadskommun från (och till, om före 1971)",Anmärkningar,marker,lat,lon,date
Vaxholm,Uppland,Stockholms län,Svealand,1652,,🏙️,59.4022,18.3532,1652
Vetlanda,Småland,Jönköpings län,Götaland,1 januari 1920,Ombildades av Vetlanda köping,🏙️,57.4289,15.0776,1920
Vimmerby,Småland,Kalmar län,Götaland,"före 1350–1532, 1604",,🏙️,57.6656,15.8550,1350
Visby,Gotland,Gotlands län,Götaland,Före 1203,Nu i Gotlands kommun där Visby är centralort,🏙️,57.6348,18.2948,1203
Vä,Skåne,Kristianstads län,Götaland,före 1250-talet–1617,Nu i Kristianstads kommun. Enbart stad under danska tiden.,🏙️,56.0333,14.1500,1250
Vänersborg,Västergötland,Älvsborgs län,Götaland,1644,,🏙️,58.3808,12.3234,1644
Värnamo,Småland,Jönköpings län,Götaland,1 november 1920,Ombildades av Värnamo köping,🏙️,57.1833,14.0483,1920
Västervik,Småland,Kalmar län,Götaland,1200-talet (annan plats)/1433,Den övergivna orten fick namnet Gamleby,🏙️,57.7514,16.6288,1200
Västerås,Västmanland,Västmanlands län,Svealand,(före) mitten av 1200-talet,,🏙️,59.6162,16.5528,1250
Växjö,Småland,Kronobergs län,Götaland,1342,,🏙️,56.8790,14.8059,1342
Ystad,Skåne,Malmöhus län,Götaland,1200-talet,,🏙️,55.4295,13.8204,1200
Åhus,Skåne,Kristianstads län,Götaland,1326–1617,Nu i Kristianstads kommun. Enbart stad under danska tiden.,🏙️,55.9167,14.2833,1326
Åmål,Dalsland,Älvsborgs län,Götaland,1643,,🏙️,59.0510,12.7049,1643
Älvsborg,Västergötland,Göteborgs och Bohus län,Götaland,1547–1560,"Nu i Göteborgs kommun, stadsdel Klippan",🏙️,57.7000,11.9333,1547
Ängelholm,Skåne,Kristianstads län,Götaland,"1516–1547, 1767",,🏙️,56.2428,12.8622,1516
Örebro,Närke,Örebro län,Svealand,1200-talet,,🏙️,59.2741,15.2066,1200
Öregrund,Uppland,Stockholms län,Svealand,"1491–1521, 1554–1966",Nu i Östhammars kommun,🏙️,60.3340,18.4330,1491
Örnsköldsvik,Ångermanland,Västernorrlands län,Norrland,1 januari 1894,Ombildades av Örnsköldsviks köping,🏙️,63.2909,18.7153,1894
Östersund,Jämtland,Jämtlands län,Norrland,23 oktober 1786,,🏙️,63.1792,14.6357,1786
Östhammar,Uppland,Stockholms län,Svealand,"1368–1491, 1539",,🏙️,60.2590,18.3740,1368
