Original form,Preposition,Variant form,Lemma form,Standard form,Description,Place name or non-name,Real or fictional,Type of place name,Type of locality,Type of non-name,Latitude,Longitude,Language,Work,Source,Page/Folio,Source type,Edition,Edition page,Edition page link,Level of certainty,Notes ,ID link,coordinateSource,mapLocation,year,yearFrom,yearTo,marker
til anthiochiam,til,Anthiochia,Antiochia,Antakya,Antioch on the Orontes,Place name,real,settlement name,city,,36.20655,36.15722,Old Swedish,Själens tröst,A 108,23,Manuscript,Henning 1954,30,,Commonly attested and known,The name is declined as a Latin accusative.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=13),source,,,1400,1449,🏙️
Bocatii walske bøcker,,walske,valsk,Italian,,Non-name,real,,,adjective,42.83333,12.83333,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,"The textual context makes it clear that here walsk refers to Italian, it could otherwise refer to French as well.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=14),show-as,Italy,,1490,1510,
paa latine,,latine,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=15),show-as,Europe,,1490,1510,
aff latinen,af,latinen,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=16),show-as,Europe,,1490,1510,
paa tiiske,,tiisk,thythisk,German language,,Non-name,real,,,language designation,51.5,10.5,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=17),show-as,Germany,,1490,1510,
[W]ty Walandh,ut i,Walandh,Valland,Italy,,Place name,real,choronym,country,,42.83333,12.83333,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,"The story of Griseldis (from Boccaccio's Decameron) takes place in Italy, thus Walandh here is identified with Italy, though formally it could refer to France as well.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=18),source,,,1490,1510,
biergh som hetther Wesaus,,Wesaus,Viso,Mount Viso,,Place name,real,oronym,mountain,,44.6676,7.09051,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,Interpretation taken from Danske Folkebøger VIII.191,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=19),source,,,1490,1510,⛰️
thet landt som hetther Liguria,,Liguria,Liguria,Liguria,,Place name,real,choronym,region,,44.5,8.83333,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=20),source,,,1490,1510,
gønwm Emiliam Ffenniam,genem,Emilia Fennia,Emilia Flamminia,Emilia-Romagna,,Place name,real,choronym,region,,44.5444,10.98361,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,"The edition Lægebøger... has Ffenni[di]/am where the first i is uncertain, di is added by the editor, and the / indicates line break. Since the Middle Low German version has Flaminiam and the later Danish version Flamminiam, there is no doubt that the Old Danish is a mistake most probably influence by the following Ffenedy Venice.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=21),source,,,1490,1510,
tiill Ffenedy,til,Ffenedy,Venedig,Venice,,Place name,real,settlement name,city,,45.43713,12.33265,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=22),source,,,1490,1510,🏙️
en stadt som hetther Salwtem,,Salutem,Saluzzo,Saluzzo,,Place name,real,settlement name,city,,44.64671,7.49309,Old Danish,Griseldis,Saml. 1a,126,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,293,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=23),source,,,1490,1510,🏙️
tiil Bononien,til,Bononien,Bononien,Bologna,,Place name,real,settlement name,city,,44.49381,11.33875,Old Danish,Griseldis,Saml. 1a,146,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,319,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=24),source,,,1490,1510,🏙️
greffuens hostru aff Pauentz,af,Pauentz,Panicus,Panico,,Place name,real,settlement name,city,,44.35465,11.21566,Old Danish,Griseldis,Saml. 1a,146,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,319,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=25),source,,,1490,1510,🏙️
Her dydhrik van bernin,van,Bernin,Bernen,Verona,,Place name,real,settlement name,city,,45.4299,10.98444,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,1,,Commonly attested and known,"The Old Swedish form Bernin might be a scribal adaptation of Middle Low German van den Berne since the definite article seems to be added to the name, the Middle Low German preposition van used here has the same meaning at Old Swedish fran 'from'.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=26),source,,,1400,1449,🏙️
Mange herra oc førsto / Riddara oc swena aff fiærran landum,af,Fiærran land,Fiærran land,"Fiærran land, Fjarren land",Distant land,Place name,real,choronym,country,,,,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,2,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=27),unresolved,,,1400,1449,
j salta hafwit som kallas mærit,,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=28),source,,,1400,1449,🌊
fiskia j mærit,i,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=29),source,,,1400,1449,🌊
eet mønster widh mærit,viþ,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=30),source,,,1400,1449,🌊
tidhrik af bærna,af,Bærn,Bern,Verona,,Place name,real,settlement name,city,,45.4299,10.98444,Old Danish,Sjælens Trøst,C 529,1,Manuscript,Nielsen 1937-1952,5,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=31),source,,,1415,1435,🏙️
"Mange hærra, forste, ridara, oc swena, af fiærrin landom",af,fiærrin landom,fjarren land,"Fræmadha land, Fræmethe land",Foreign land,Place name,real,choronym,country,,,,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,5,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=33),unresolved,,,1415,1435,
j salta hafvit som kallas mærit,,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,6,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=35),source,,,1415,1435,🌊
vit mærit,vither,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,6,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=37),source,,,1415,1435,🌊
til jerusalem,til,Jerusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,6,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=39),source,,,1415,1435,🏙️
The ædhla drotnigen aff saba,af,Saba,Saba,Sheba,,Place name,real,choronym,country,,15.37954,44.70886,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=41),source,,,1400,1449,
til iherusalem,til,Iherusalem,Iherusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=45),source,,,1400,1449,🏙️
Then ædhle konugin aff grecia,af,Grecia,Grecia,Greece,,Place name,real,choronym,country,,39,22,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=47),source,,,1400,1449,
j iwdha landeno j iherusalem,i,Iwdhalandit,Iudhalandet,Judea,,Place name,real,choronym,region,,31.58333,35,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=49),source,,,1400,1449,
j iwdha landeno j iherusalem,i,Iherusalem,Iherusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=51),source,,,1400,1449,🏙️
mange iwdha,,iwdha,iuþe,Judean,Jew,Non-name,real,,,inhabitant designation,31.5,34.75,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=53),show-as,Israel,,1400,1449,
sænde them alla iwdha biscopenom j iherusalem ,i,Iherusalem,Iherusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=57),source,,,1400,1449,🏙️
scrifwo oc wendo laghin / aff iwdha maal / j grezth maal,af,iwdha maal,iudha mal,Hebrew language,,Non-name,real,,,language designation,31.5,34.75,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=59),show-as,Israel,,1400,1449,
scrifwo oc wendo laghin / aff iwdha maal / j grezth maal,i,grezth maal,greskt mal,Greek language,,Non-name,real,,,language designation,39,22,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=61),show-as,Greece,,1400,1449,
foor in j iwdha landit,in i,Iwdhalandit,Iudhalandet,Judea,,Place name,real,choronym,region,,31.58333,35,Old Swedish,Själens tröst,A 108,3,Manuscript,Henning 1954,4,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=63),source,,,1400,1449,
wende oc screff the helgho script / aff ebreydzko oc gredzko j latiin,af,ebreydzka,ebrezka,Hebrew language,,Non-name,real,,,language designation,31.5,34.75,Old Swedish,Själens tröst,A 108,3,Manuscript,Henning 1954,4,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=65),show-as,Israel,,1400,1449,
wende oc screff the helgho script / aff ebreydzko oc gredzko j latiin,af,gredzka,greska,Greek language,,Non-name,real,,,language designation,39,22,Old Swedish,Själens tröst,A 108,3,Manuscript,Henning 1954,4,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=67),show-as,Greece,,1400,1449,
wende oc screff the helgho script / aff ebreydzko oc gredzko j latiin,i,latiin,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Swedish,Själens tröst,A 108,3,Manuscript,Henning 1954,4,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=69),show-as,Europe,,1400,1449,
wenda hona af latiin j swensko,af,latiin,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Swedish,Själens tröst,A 108,3,Manuscript,Henning 1954,4,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=71),show-as,Europe,,1400,1449,
The ædhla drøtningen af saba,af,Saba,Saba,Sheba,,Place name,real,choronym,country,,15.37954,44.70886,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,6,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=75),source,,,1415,1435,
i mærit,i,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,6,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=77),source,,,1415,1435,🌊
Thæn ædhla konungen af grecia,af,Grecia,Græcia,Greece,,Place name,real,choronym,country,,39,22,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=79),source,,,1415,1435,
j ierusalem,i,Ierusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=81),source,,,1415,1435,🏙️
i jvdhaland,i,Jvdhaland,Jutheland,Judea,,Place name,real,choronym,region,,31.58333,35,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=83),source,,,1415,1435,
i grezt maal,i,grezt maal,grækesk mal,Greek language,,Non-name,real,,,language designation,39,22,Old Danish,Sjælens Trøst,C 529,4,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=85),show-as,Greece,,1415,1435,
j ierusalem,i,Ierusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,4,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=87),source,,,1415,1435,🏙️
af judha maal,af,judhamaal,juthemal,Hebrew language,,Non-name,real,,,language designation,31.5,34.75,Old Danish,Sjælens Trøst,C 529,4,Manuscript,Nielsen 1937-1952,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=89),show-as,Israel,,1415,1435,
oppa iwdha folkeno,up a,iwdha folket,iudha folk,Judean,Jew,Non-name,real,,,inhabitant designation,31.5,34.75,Old Swedish,Själens tröst,A 108,4,Manuscript,Henning 1954,6,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=95),show-as,Israel,,1400,1449,
Thet waro iwdhane,,iwdhane,iuþe,Judean,Jew,Non-name,real,,,inhabitant designation,31.5,34.75,Old Swedish,Själens tröst,A 108,4,Manuscript,Henning 1954,6,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=97),show-as,Israel,,1400,1449,
aff egypto landz threldom,af,Egyptoland,Egyptaland,Egypt,Ancient Egypt,Place name,real,choronym,country,,27,30,Old Swedish,Själens tröst,A 108,4,Manuscript,Henning 1954,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=99),source,,,1400,1449,
"af ebraisko, oc grezsco maal",af,grezsco maal,grækesk mal,Greek language,,Non-name,real,,,language designation,39,22,Old Danish,Sjælens Trøst,C 529,5,Manuscript,Nielsen 1937-1952,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=101),show-as,Greece,,1415,1435,
"af ebraisko, oc grezsco maal",af,ebraisk,hebraisk,Hebrew language,,Non-name,real,,,language designation,31.5,34.75,Old Danish,Sjælens Trøst,C 529,5,Manuscript,Nielsen 1937-1952,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=103),show-as,Israel,,1415,1435,
for in i iudha landit,i,Iudhalandit,Juthelandet,Judea,,Place name,real,choronym,region,,31.58333,35,Old Danish,Sjælens Trøst,C 529,5,Manuscript,Nielsen 1937-1952,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=105),source,,,1415,1435,
gynom rødha hafwit,genom,Rødha hafwit,Rødha havet,Red Sea,,Place name,real,hydronym,sea,,20.26735,38.53455,Old Swedish,Själens tröst,A 108,4,Manuscript,Henning 1954,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=107),source,,,1400,1449,🌊
aff egipto landh,af,Egiptolandh,Egyptaland,Egypt,Ancient Egypt,Place name,real,choronym,country,,27,30,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,7,,Commonly attested and known,The second vowel in the place name is changed from y to i.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=109),source,,,1400,1449,
til synay bergh,til,Synaybergh,Sinaibiærgh,Mount Sinai,,Place name,real,oronym,mountain,,28.53914,33.97496,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=111),source,,,1400,1449,⛰️
iwdhomen,,iwdhane,iuþe,Judean,Jew,Non-name,real,,,inhabitant designation,31.5,34.75,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,7,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=113),show-as,Israel,,1400,1449,
in j thet lofwadha landit,in i,thet lofwadha landit,Thet lovadha landet,Promised Land,,Place name,real,choronym,country,,33.13906,35.85869,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=115),show-as,Middle East,,1400,1449,
aff egypto,af,Egyptus,Egyptus,Egypt,Ancient Egypt,Place name,real,choronym,country,,27,30,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,8,,Commonly attested and known,The name is declined as a Latin dative/ablative.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=117),source,,,1400,1449,
in j thet lofwadha landit,in i,thet lofwadha landit,Thet lovadha landet,Promised Land,,Place name,real,choronym,country,,33.13906,35.85869,Old Swedish,Själens tröst,A 108,5,Manuscript,Henning 1954,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=119),show-as,Middle East,,1400,1449,
aff egyptoland,af,Egyptoland,Egyptaland,Egypt,Ancient Egypt,Place name,real,choronym,country,,27,30,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=121),source,,,1400,1449,
in j thet lofwadha landit,in i,Thet lofwadha landit,Thet lovadha landet,Promised Land,,Place name,real,choronym,country,,33.13906,35.85869,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=123),show-as,Middle East,,1400,1449,
til sancti iacobs,til,Sancti Iacobs,Sankte Iakobs,Cathedral of Santiago de Compostela,,Place name,real,sacral name,church,,42.88064,-8.5445,Old Swedish,Flores och Blanzeflor,D 4,90r,Manuscript,Olson 1921 [1956],3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=125),source,,,1400,1430,⛪
til sancte iacobs,til,Sancte Iacobs,Sankte Iakobs,Cathedral of Santiago de Compostela,,Place name,real,sacral name,church,,42.88064,-8.5445,Old Swedish,Flores och Blanzeflor,D 4a,151,Manuscript,Olson 1921 [1956],3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=127),source,,,1448,1453,⛪
konungx rikit aff israel,af,Israel,Israel,Israel,,Place name,real,choronym,country,,31.5,34.75,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=129),source,,,1400,1449,
konungx rikit aff iwda,af,Iwda,Iudha,Judah,,Place name,real,choronym,country,,33.13906,35.85869,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=131),show-as,Middle East,,1400,1449,
Konugin aff israel,af,Israel,Israel,Israel,,Place name,real,choronym,country,,31.5,34.75,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=133),source,,,1400,1449,
konungen aff niniue,af,Niniue,Ninive,Nineveh,,Place name,real,settlement name,city,,36.36768,43.15667,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=135),source,,,1400,1449,🏙️
thet waro iwdha,,iwdha,iuþe,Judean,Jew,Non-name,real,,,inhabitant designation,31.5,34.75,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=137),show-as,Israel,,1400,1449,
badh han innirlika israels gudh,,Israel,Israel,Israel,,Place name,real,choronym,country,,31.5,34.75,Old Swedish,Själens tröst,A 108,6,Manuscript,Henning 1954,9,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=139),source,,,1400,1449,
af latino,,latino,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Sjælens Trøst,C 529,5,Manuscript,Nielsen 1937-1952,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=141),show-as,Europe,,1415,1435,
j latine,i,latine,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Sjælens Trøst,C 529,5,Manuscript,Nielsen 1937-1952,8,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=143),show-as,Europe,,1415,1435,
babilonie konung,,Babilonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,7,Manuscript,Nielsen 1937-1952,10,,Educated guess,Might designate the city Babylon. Babilonie is a Latin genitive form. ,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=145),show-as-description,Middle East,,1415,1435,
intil babyloniam,intil,Babylonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,7,Manuscript,Nielsen 1937-1952,10,,Educated guess,Babyloniam is a Latin accusative form.  Might designate the city Babylon.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=147),show-as-description,Middle East,,1415,1435,
af iherusalem,af,Iherusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,7,Manuscript,Nielsen 1937-1952,10,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=149),source,,,1415,1435,🏙️
til iherusalem,til,Iherusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,7,Manuscript,Nielsen 1937-1952,10,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=151),source,,,1415,1435,🏙️
Han van babyloniam,,Babylonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,9,Manuscript,Nielsen 1937-1952,12,,Educated guess,Babyloniam is a Latin accusative form.  Might designate the city Babylon.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=153),show-as-description,Middle East,,1415,1435,
til sancte jacobs,til,Sancte Jacobs,Sankte Iakobs,Cathedral of Santiago de Compostela,,Place name,real,sacral name,church,,42.88064,-8.5445,Old Swedish,Flores och Blanzeflor,AM 191 fol.,67r,Manuscript,Olson 1921 [1956],3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=155),source,,,1492,1497,⛪
een hedhin konung foor medh brand | hæria ok ødha sancti iacobs land,,Sancti Iacobs land,Sankte Iakobs land,Galicia,,Place name,real,choronym,region,,42.75508,-7.86621,Old Swedish,Flores och Blanzeflor,D 4,90r,Manuscript,Olson 1921 [1956],1,,Educated guess,"The reference is to the cathedral of Santiago de Compostela, the destination of a popular pilgrimage route. Santiago is the capital of the region Galicia.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=157),source,,,1400,1430,
en hedhin konung foor medh brand | fordærffuæ och ødhæ sancti iacobs landh,,Sancti Iacobs landh,Sankte Iakobs land,Galicia,,Place name,real,choronym,region,,42.75508,-7.86621,Old Swedish,Flores och Blanzeflor,D 4a,151,Manuscript,Olson 1921 [1956],1,,Educated guess,"The reference is made to the region where the cathedral of Santiago de Compostela, the destination of a popular pilgrimage route, is situated.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=159),source,,,1448,1453,
En hædhen konungh foor medh brandh | hæria ok ødha sancti iacobs landh,,Sancti Iacobs landh,Sankte Iakobs land,Galicia,,Place name,real,choronym,region,,42.75508,-7.86621,Old Swedish,Flores och Blanzeflor,AM 191 fol.,67r,Manuscript,Olson 1921 [1956],,,Educated guess,"The reference is to the cathedral of Santiago de Compostela, the destination of a popular pilgrimage route. Santiago is the capital of the region Galicia.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=161),source,,,1492,1497,
Fenix aff apulia,af,Apulia,Apulia,Apolis,,Place name,fictional,settlement name,city,,,,Old Swedish,Flores och Blanzeflor,D 4,90r,Manuscript,Olson 1921 [1956],1,,Unknown,"On the line is the name appuloria deleted, whereas this form is written above. ",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=163),unresolved,,,1400,1430,🏙️
til babyloniam,,Babylonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,11,Manuscript,Nielsen 1937-1952,13,,Educated guess,The name is declined as a Latin accusative. Might designate the city Babylon.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=165),show-as-description,Middle East,,1415,1435,
i babylonia,i,Babylonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,11,Manuscript,Nielsen 1937-1952,13,,Educated guess,Might designate the city Babylon.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=167),show-as-description,Middle East,,1415,1435,
i babylonia,i,Babylonia,Babylonia,Babylonia,Neo-Babylonian Empire,Place name,real,choronym,country,,33.13906,35.85869,Old Danish,Sjælens Trøst,C 529,12,Manuscript,Nielsen 1937-1952,14,,Educated guess,Might designate the city Babylon.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=169),show-as-description,Middle East,,1415,1435,
